mode	time_h	Fe2_gL	Fe3_gL	oxidation_pct	cells_per_mm3	OD420	biomass_gL	source
CA	0	12.20	0.01	0.0	1500	0.10	0.01	Wang_2024_Fig3
CA	12	11.80	0.40	3.3	2500	0.00	0.02	Wang_2024_Fig3
CA	24	10.00	2.20	18.0	3500	0.20	0.03	Wang_2024_Fig3
CA	36	8.60	3.60	30.0	7000	0.50	0.06	Wang_2024_Fig3
CA	48	6.60	5.60	46.0	17500	1.20	0.15	Wang_2024_Fig3
CA	60	2.60	9.60	79.0	34250	6.50	0.29	Wang_2024_Fig3
CA	72	0.10	12.10	99.2	51000	6.60	0.43	Wang_2024_Fig3
EA	0	0.00	0.00	NA	500	NA	0.005	Wang_2024_Fig5
EA	12	0.00	0.00	NA	600	NA	0.006	Wang_2024_Fig5
EA	24	0.00	0.00	NA	800	NA	0.008	Wang_2024_Fig5
EA	36	0.00	0.00	NA	1200	NA	0.012	Wang_2024_Fig5
EA	48	0.00	0.00	NA	2000	NA	0.020	Wang_2024_Fig5
EA	60	0.00	0.00	NA	3500	NA	0.035	Wang_2024_Fig5
EA	72	0.00	0.00	NA	5000	NA	0.050	Wang_2024_Fig5
