reaction_id	reaction_name	stoichiometric_equation	reversible	compartment	pathway_branch	assignment_type	gene_reaction_rule	best_gene	best_locus	enzyme_family	EC_number	KEGG_ID	BioCyc_ID	transcript_log2FC_AD	transcript_padj_AD	proteomics_status	omics_support	biopax_source	balance_status	notes
biopaxRXN_RXN-11679_c0	biopax:BiochemicalReaction30761	biopaxSM_8f4d80e95b_c0 + cpd00004_c0 + cpd00007_c0 + cpd00067_c0 --> biopaxSM_3e9ea32888_c0 + cpd00003_c0	False	c0	core_phthalate_branch	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	1.14.12.-	R09227	RXN-11679				no_support	001. phthalate degradation (aerobic)	balanced	
db71cur_dyp_fragment_release_c0	Peroxidative fragment release toward phthalate-like chemistry	db71cur_aromatic_fragments_c0 --> biopaxSM_8f4d80e95b_c0	False	c0	core_phthalate_branch	CONTEXTUAL_FEEDER_REACTION	E2650_18205	E2650_18205	E2650_18205	gene_level_assignment			RXN-11813			detected	proteomics_only	001. phthalate degradation (aerobic)	unbalanced_contextual	explicit_reaction_present_but_support_remains_bottleneck_level; exp537
db71cur_phthalate_dihydrodiol_dehydrogenation_c0	Phthalate dihydrodiol dehydrogenation	cpd00003_c0 + db71cur_phthalate_cis_dihydrodiol_c0 --> cpd00004_c0 + cpd00067_c0 + db71cur_dihydroxyphthalate_c0	False	c0	core_phthalate_branch	KNOWN_LC6_GENE	fabG	fabG	fabG	gene_level_assignment			RXN5F9-56	-0.883180133676187	2.57403167661966e-18	significant	transcript+proteomics	001. phthalate degradation (aerobic)	balanced	explicit_reaction_plus_local_support; exp537
db71cur_phthalate_dioxygenation_c0	Phthalate dioxygenation	biopaxSM_8f4d80e95b_c0 + cpd00004_c0 + cpd00007_c0 + cpd00067_c0 --> cpd00003_c0 + db71cur_phthalate_cis_dihydrodiol_c0	False	c0	core_phthalate_branch	KNOWN_LC6_GENE	E2650_13915	E2650_13915	E2650_13915	gene_level_assignment			RXN-11679			detected	proteomics_only	001. phthalate degradation (aerobic)	balanced	explicit_reaction_present_but_support_remains_bottleneck_level; exp537
db71cur_ubid_like_decarboxylation_c0	Broad UbiD-like decarboxylation toward protocatechuate	cpd00067_c0 + db71cur_dihydroxyphthalate_c0 --> cpd00011_c0 + cpd00197_c0	False	c0	core_phthalate_branch	FUNCTIONAL_FAMILY_ASSIGNMENT	ubiX	ubiX	EJGNCN_00956	functional_family_proxy			rxn01194_c0				no_support	001. phthalate degradation (aerobic)	balanced	local_ubid_ubix_pair_detected_but_not_strictly_resolved; exp539
biopaxRXN_PROTOCATECHUATE-34-DIOXYGENASE-RXN_c0	biopax:BiochemicalReaction32808	cpd00007_c0 + cpd00197_c0 --> biopaxSM_764f5d5da3_c0 + 2.0 cpd00067_c0	False	c0	protocatechuate_meta_cleavage	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	1.13.11.3	R01631	PROTOCATECHUATE-34-DIOXYGENASE-RXN				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
db71cur_dienol_rearrangement_c0	Dienol rearrangement	db71cur_dienol_intermediate_c0 <=> db71cur_hydroxy_oxo_tricarboxylate_c0	True	c0	protocatechuate_meta_cleavage	CONTEXTUAL_FEEDER_REACTION		ORPHAN	ORPHAN	ORPHAN			RXN-2463				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	unbalanced_contextual	No candidate simultaneously satisfies chemistry, real AD omics support, and coherent aromatic context.; exp540
db71cur_protocatechuate_ring_opening_c0	Protocatechuate ring opening	cpd00007_c0 + cpd00197_c0 --> cpd00067_c0 + db71cur_semialdehyde_hemiacetal_c0	False	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	ligA	ligA	ligA	gene_level_assignment			PROTOCATECHUATE-45-DIOXYGENASE-RXN	0.381009706560554	0.000763332759315	significant	transcript+proteomics	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	explicit_reaction_plus_local_support; exp537
db71cur_pyrone_hydrolysis_c0	2-pyrone hydrolysis	db71cur_pyrone_dicarboxylate_c0 --> db71cur_dienol_intermediate_c0	False	c0	protocatechuate_meta_cleavage	CONTEXTUAL_FEEDER_REACTION	yghX	yghX	EJGNCN_03772	family_level_candidate			RXN-2462				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	unbalanced_contextual	family_level_local_candidate_supported_by_real_omics; exp539
db71cur_semialdehyde_dehydrogenation_c0	Semialdehyde oxidation inside the protocatechuate meta-cleavage module	db71cur_semialdehyde_hemiacetal_c0 --> db71cur_pyrone_dicarboxylate_c0	False	c0	protocatechuate_meta_cleavage	CONTEXTUAL_FEEDER_REACTION	QM089_11575	QM089_11575	QM089_11575	gene_level_assignment			1.2.1.45-RXN			significant	proteomics_only	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	unbalanced_contextual	explicit_reaction_present_but_support_remains_bottleneck_level; exp537
rxn00010_c0	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	2.0 cpd00040_c0 + cpd00067_c0 --> cpd00011_c0 + cpd00843_c0	False	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	contig_1_2351530_2349818 or contig_1_445700_447346	contig_1_2351530_2349818	contig_1_2351530_2349818	contig_locus_assignment	4.1.1.47	R00013	META:GLYOCARBOLIG-RXN				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn00183_c0	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase	cpd00001_c0 + cpd00003_c0 + cpd00858_c0 --> cpd00004_c0 + cpd00023_c0 + 2.0 cpd00067_c0	False	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	contig_1_1050388_1048913 or contig_1_339385_337880	contig_1_1050388_1048913	contig_1_1050388_1048913	contig_locus_assignment	1.2.1.88; 1.5.1.12	R00245	META:RXN-14116				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn00508_c0	Succinate-semialdehyde:NAD+ oxidoreductase	cpd00001_c0 + cpd00003_c0 + cpd00199_c0 --> cpd00004_c0 + cpd00036_c0 + 2.0 cpd00067_c0	False	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685125_3683701	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.24	R00713	META:SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn00509_c0	Succinate-semialdehyde:NADP+ oxidoreductase	cpd00001_c0 + cpd00006_c0 + cpd00199_c0 --> cpd00005_c0 + cpd00036_c0 + 2.0 cpd00067_c0	False	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685125_3683692	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.79	R00714	META:SUCCSEMIALDDEHYDROG-RXN				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn01194_c0	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate:NAD+ oxidoreductase	cpd00003_c0 + cpd03759_c0 --> cpd00004_c0 + cpd00011_c0 + cpd00197_c0	False	c0	protocatechuate_meta_cleavage	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	1.3.1.53; 1.3.1.61	R01633	META:1.3.1.53-RXN				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn01643_c0	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	cpd00006_c0 + cpd00009_c0 + cpd00346_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd01977_c0	True	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	contig_1_1790029_1791024	contig_1_1790029_1791024	contig_1_1790029_1791024	contig_locus_assignment	1.2.1.11	R02291	META:ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn01644_c0	L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing)	cpd00020_c0 + cpd00346_c0 --> cpd00001_c0 + cpd00067_c0 + cpd21488_c0	False	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	contig_1_3083280_3082408	contig_1_3083280_3082408	contig_1_3083280_3082408	contig_locus_assignment	4.3.3.7; 4.2.1.52		rxn01644				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn01729_c0	glutarate-semialdehyde:NAD+ oxidoreductase	cpd00001_c0 + cpd00003_c0 + cpd02089_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00379_c0	True	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685125_3683692	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.20	R02401	META:GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn01993_c0	2-Hydroxymuconate semialdehyde:NAD+ 6-oxidoreductase	cpd00001_c0 + cpd00003_c0 + cpd00518_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd01644_c0	True	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685056_3683686	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.85		rxn01993				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn02224_c0	L-2-aminoadipate-6-semialdehyde:NAD(P)+ 6-oxidoreductase	cpd00002_c0 + cpd00705_c0 <-- cpd00012_c0 + cpd03297_c0	False	c0	protocatechuate_meta_cleavage	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	1.2.1.31	R03098	rxn02224				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn02226_c0	L-2-Aminoadipate-6-semialdehyde:NAD+ 6-oxidoreductase	cpd00001_c0 + cpd00003_c0 + cpd02522_c0 <-- cpd00004_c0 + 2.0 cpd00067_c0 + cpd00705_c0	False	c0	protocatechuate_meta_cleavage	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	1.2.1.31	R03102	META:ALLYSINE-DEHYDROG-RXN				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn02227_c0	L-2-Aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase	cpd00001_c0 + cpd00006_c0 + cpd02522_c0 --> cpd00005_c0 + 2.0 cpd00067_c0 + cpd00705_c0	False	c0	protocatechuate_meta_cleavage	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	1.2.1.31	R03103	rxn02227				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
rxn02373_c0	L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)	cpd00006_c0 + cpd00009_c0 + cpd00858_c0 <-- cpd00005_c0 + cpd00067_c0 + cpd02097_c0	False	c0	protocatechuate_meta_cleavage	KNOWN_LC6_GENE	contig_1_3922270_3921023 or contig_1_4934235_4935476	contig_1_3922270_3921023	contig_1_3922270_3921023	contig_locus_assignment	1.2.1.41	R03313	META:GLUTSEMIALDEHYDROG-RXN				no_support	003. Protocatechuate degradation II (ortho-cleavage pathway); 005. Superpathway of aromatic compound degradation (via 3-oxoadipate)	balanced	
