gene	condition	replicate	Ct	ng_10uL	ng_per_uL	nM	pM	molecules_in_tube	molecules_per_cell_est	MW_amplicon_Da	module	locus
AceA	ZZ	1	28.99641228	1.582300e-03	1.582300e-04	3.196565e-03	3.196565e+00	1.924972e+07	1.924972e+01	49500	metabolismo_central	EJGNCN_03261
AceA	ZZ	2	28.89365768	1.689270e-03	1.689270e-04	3.412667e-03	3.412667e+00	2.055108e+07	2.055108e+01	49500	metabolismo_central	EJGNCN_03261
AceA	ZZ	3	28.92517853	1.655709e-03	1.655709e-04	3.344867e-03	3.344867e+00	2.014279e+07	2.014279e+01	49500	metabolismo_central	EJGNCN_03261
AceA	MO	1	31.94550514	2.420480e-04	2.420480e-05	4.889858e-04	4.889858e-01	2.944673e+06	2.944673e+00	49500	metabolismo_central	EJGNCN_03261
AceA	MO	2	31.97613716	2.373734e-04	2.373734e-05	4.795423e-04	4.795423e-01	2.887804e+06	2.887804e+00	49500	metabolismo_central	EJGNCN_03261
AceA	MO	3	31.3116169	3.623795e-04	3.623795e-05	7.320799e-04	7.320799e-01	4.408585e+06	4.408585e+00	49500	metabolismo_central	EJGNCN_03261
AceA	CR	1	28.86837959	1.716676e-03	1.716676e-04	3.468032e-03	3.468032e+00	2.088449e+07	2.088449e+01	49500	metabolismo_central	EJGNCN_03261
AceA	CR	2	28.8613987	1.724322e-03	1.724322e-04	3.483479e-03	3.483479e+00	2.097751e+07	2.097751e+01	49500	metabolismo_central	EJGNCN_03261
AceA	CR	3	28.78720856	1.807719e-03	1.807719e-04	3.651958e-03	3.651958e+00	2.199209e+07	2.199209e+01	49500	metabolismo_central	EJGNCN_03261
AceA	AD	1	29.61538887	1.066963e-03	1.066963e-04	2.155482e-03	2.155482e+00	1.298031e+07	1.298031e+01	49500	metabolismo_central	EJGNCN_03261
AceA	AD	2	29.47196579	1.168972e-03	1.168972e-04	2.361560e-03	2.361560e+00	1.422131e+07	1.422131e+01	49500	metabolismo_central	EJGNCN_03261
AceA	AD	3	29.52212524	1.132233e-03	1.132233e-04	2.287339e-03	2.287339e+00	1.377436e+07	1.377436e+01	49500	metabolismo_central	EJGNCN_03261
bepE	ZZ	1	29.96364975	8.729903e-04	8.729903e-05	1.763617e-03	1.763617e+00	1.062050e+07	1.062050e+01	49500	eflujo	EJGNCN_04540
bepE	ZZ	2	29.92844963	8.928223e-04	8.928223e-05	1.803681e-03	1.803681e+00	1.086177e+07	1.086177e+01	49500	eflujo	EJGNCN_04540
bepE	ZZ	3	29.74264145	1.005220e-03	1.005220e-04	2.030747e-03	2.030747e+00	1.222916e+07	1.222916e+01	49500	eflujo	EJGNCN_04540
bepE	MO	1	29.36816025	1.276578e-03	1.276578e-04	2.578945e-03	2.578945e+00	1.553041e+07	1.553041e+01	49500	eflujo	EJGNCN_04540
bepE	MO	2	29.27713776	1.352925e-03	1.352925e-04	2.733183e-03	2.733183e+00	1.645923e+07	1.645923e+01	49500	eflujo	EJGNCN_04540
bepE	MO	3	29.32374001	1.313283e-03	1.313283e-04	2.653096e-03	2.653096e+00	1.597694e+07	1.597694e+01	49500	eflujo	EJGNCN_04540
bepE	CR	1	28.71740723	1.933754e-03	1.933754e-04	3.906573e-03	3.906573e+00	2.352539e+07	2.352539e+01	49500	eflujo	EJGNCN_04540
bepE	CR	2	28.90240669	1.718420e-03	1.718420e-04	3.471555e-03	3.471555e+00	2.090570e+07	2.090570e+01	49500	eflujo	EJGNCN_04540
bepE	CR	3	28.76955223	1.870464e-03	1.870464e-04	3.778715e-03	3.778715e+00	2.275542e+07	2.275542e+01	49500	eflujo	EJGNCN_04540
bepE	AD	1	24.54483795	2.772134e-02	2.772134e-03	5.600270e-02	5.600270e+01	3.372483e+08	3.372483e+02	49500	eflujo	EJGNCN_04540
bepE	AD	2	24.56941605	2.728993e-02	2.728993e-03	5.513117e-02	5.513117e+01	3.319999e+08	3.319999e+02	49500	eflujo	EJGNCN_04540
bepE	AD	3	24.49132538	2.868435e-02	2.868435e-03	5.794818e-02	5.794818e+01	3.489639e+08	3.489639e+02	49500	eflujo	EJGNCN_04540
mtrF	ZZ	1	30.06270218	1.097753e-03	1.097753e-04	2.217684e-03	2.217684e+00	1.335489e+07	1.335489e+01	49500	EET	EJGNCN_02980
mtrF	ZZ	2	29.89017868	1.225196e-03	1.225196e-04	2.475143e-03	2.475143e+00	1.490531e+07	1.490531e+01	49500	EET	EJGNCN_02980
mtrF	ZZ	3	29.40815163	1.665252e-03	1.665252e-04	3.364145e-03	3.364145e+00	2.025888e+07	2.025888e+01	49500	EET	EJGNCN_02980
mtrF	MO	1	29.98131371	1.156133e-03	1.156133e-04	2.335622e-03	2.335622e+00	1.406511e+07	1.406511e+01	49500	EET	EJGNCN_02980
mtrF	MO	2	29.93626595	1.189770e-03	1.189770e-04	2.403575e-03	2.403575e+00	1.447433e+07	1.447433e+01	49500	EET	EJGNCN_02980
mtrF	MO	3	29.9386158	1.187991e-03	1.187991e-04	2.399982e-03	2.399982e+00	1.445269e+07	1.445269e+01	49500	EET	EJGNCN_02980
mtrF	CR	1	29.95928955	1.172458e-03	1.172458e-04	2.368601e-03	2.368601e+00	1.426372e+07	1.426372e+01	49500	EET	EJGNCN_02980
mtrF	CR	2	29.42618561	1.646242e-03	1.646242e-04	3.325742e-03	3.325742e+00	2.002762e+07	2.002762e+01	49500	EET	EJGNCN_02980
mtrF	CR	3	29.5208683	1.549941e-03	1.549941e-04	3.131194e-03	3.131194e+00	1.885605e+07	1.885605e+01	49500	EET	EJGNCN_02980
mtrF	AD	1	29.14982605	1.962925e-03	1.962925e-04	3.965505e-03	3.965505e+00	2.388027e+07	2.388027e+01	49500	EET	EJGNCN_02980
